acousticness,danceability,duration,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,tempo_confidence,time_signature,valence,name,artist,Like
0.0544,0.533,214.77333,214773,0.674,49,0.000204,2,0.103,-7.077,1,41,1/1/11,0.036,165.849,0.476,4,0.507,Everything Is Fine,Josh Turner,N
0.114,0.887,217.46667,217467,0.419,50,0.268,10,0.129,-10.961,0,55,9/24/91,0.353,96.149,0.858,4,0.576,Buggin' Out,A Tribe Called Quest,Y
0.704,0.178,110.09333,110093,0.981,51,7.45E-05,4,0.854,-1.743,0,60,2001,0.162,88.21,0.141,4,0.369,Fell In Love With A Girl,The White Stripes,Y
0.00617,0.29,281.29333,281293,0.911,52,0.0108,5,0.331,-5.667,0,44,7/25/83,0.0975,178.636,0.107,4,0.658,Jump In The Fire (Remastered),Metallica,Y
0.00281,0.511,183.06667,183067,0.941,53,1.59E-06,1,0.207,-4.387,0,26,8/8/06,0.0794,99.146,0.23,4,0.658,1980,Rx Bandits,Y
0.275,0.44,167.84,167840,0.904,54,7.45E-06,11,0.106,-4.409,0,47,8/2/05,0.177,138.104,0.162,4,0.546,Blank Generation - 2013 Remaster,Richard Hell,Y
9.67E-05,0.212,168.28,168280,0.961,55,0.35,5,0.211,-4.02,1,33,2/14/06,0.122,133.864,0.174,4,0.308,Barael's Blade,The Sword,Y
0.00462,0.688,208.49333,208493,0.733,56,0,9,0.0756,-4.569,1,67,4/4/06,0.0274,140.004,0.906,4,0.459,Who Knew,P!nk,N
0.072,0.468,263.33333,263333,0.607,57,0.000852,9,0.225,-11.367,1,69,10/22/69,0.0336,98.429,0.414,4,0.886,Ramble On - 1990 Remaster,Led Zeppelin,Y
0.324,0.447,212.65333,212653,0.673,58,0,7,0.119,-5.523,1,28,9/13/11,0.028,148.965,0.18,4,0.539,Wish on the Moon,Chuck Ragan,Y
0.0033,0.406,122.56,122560,0.963,59,0.000515,4,0.11,-10.842,1,44,1/1/84,0.0408,104.729,0.532,4,0.342,Something I Learned Today,Hsker D,Y
0.0259,0.69,225.53333,225533,0.548,60,0.00243,10,0.106,-9.587,0,40,1969,0.352,121.509,0.661,4,0.717,Love Buzz,Shocking Blue,Y
0.000696,0.315,202.49333,202493,0.97,61,0,8,0.277,-4.709,1,46,1/1/12,0.102,178.068,0.925,4,0.423,45,The Gaslight Anthem,Y
0.0357,0.752,180.53333,180533,0.799,62,0.0366,5,0.0872,-7.455,1,31,7/24/07,0.0284,141.447,0.917,4,0.817,Back in Your Head,Tegan and Sara,Y
0.71,0.695,135.86667,135867,0.609,63,0.0353,4,0.149,-10.69,1,0,6/21/04,0.0461,104.371,0.819,4,0.96,"Baby, Let's Play House - Remastered",Elvis Presley,Y
0.0247,0.291,68.02667,68027,0.931,64,0.646,5,0.145,-5.512,0,30,12/14/10,0.09,129.802,0.344,4,0.542,Black Thoughts,OFF!,Y
0.000935,0.456,225.14068,225141,0.791,65,0.199,7,0.0675,-5.827,1,7,2004,0.0447,91.568,0.112,4,0.553,The Bloated Pope,Melvins,Y
0.00201,0.599,190.68,190680,0.856,66,4.05E-05,9,0.369,-6.151,0,36,2/24/15,0.0314,99.108,0,4,0.78,Ripe,Screaming Females,Y
0.00108,0.392,159.88,159880,0.972,67,0.337,8,0.0649,-2.955,0,29,1/1/96,0.131,142.431,0.649,4,0.338,How Low Can A Punk Get?,Bad Brains,Y
0.0533,0.878,157.06667,157067,0.619,68,0,6,0.113,-5.56,1,97,4/5/19,0.102,136.041,0.559,4,0.639,Old Town Road - Remix,Lil Nas X,N
0.179,0.661,163.80481,163805,0.723,69,1.23E-05,5,0.14,-6.976,0,91,4/25/19,0.0566,113.778,0.669,4,0.316,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,N
0.016,0.807,229.18413,229184,0.887,70,0.000503,1,0.0811,-4.311,0,85,1/11/19,0.0361,122.015,0.441,4,0.606,Giant (with Rag'n'Bone Man),Calvin Harris,N
0.374,0.693,211.362,211362,0.575,71,0,9,0.252,-6.998,1,82,10/26/18,0.0801,117.999,0.311,4,0.492,Happy Now,Kygo,N
0.527,0.724,205.71429,205714,0.469,72,0,11,0.113,-7.216,1,71,11/2/18,0.0303,104.98,0.664,4,0.448,Als Het Avond Is,Suzan & Freek,N
0.256,0.626,185.68467,185685,0.66,73,0,7,0.107,-6.065,0,13,3/2/18,0.0737,95.998,0.917,4,0.544,Diamant,Nielson,N
0.422,0.408,209.42404,209424,0.519,74,0,11,0.103,-5.813,0,51,11/2/18,0.143,178.142,0.026,4,0.567,Before I Go,Guy Sebastian,N
0.887,0.359,199.64,199640,0.292,75,0.000266,9,0.133,-11.363,1,24,10/9/98,0.0317,67.68,0.183,4,0.327,Sorry About That,Alkaline Trio,N
0.0124,0.4,66.96,66960,0.956,76,0,7,0.333,-6.687,1,43,1988,0.0655,153.878,0.76,4,0.878,Do What You Want,Bad Religion,Y
0.000681,0.486,214.38667,214387,0.939,77,0.00468,4,0.0861,-7.678,1,40,1980,0.0612,158.286,0.507,4,0.72,Somebody Got Murdered,The Clash,Y
0.000211,0.417,147.7151,147715,0.859,78,0.444,1,0.215,-10.673,0,3,2/25/14,0.0481,179.868,0.713,4,0.548,Boyfriend,Teledrome,Y
0.00747,0.394,177.77333,177773,0.945,79,0.0112,11,0.128,-10.412,1,18,1999,0.163,142.471,0.618,4,0.426,An Evening of Extraordinary Circumstance,The Lawrence Arms,Y
0.0226,0.705,169.30667,169307,0.743,80,0.0219,6,0.0707,-7.524,0,26,5/11/79,0.238,173.407,0.067,4,0.66,Grinding Halt - Remastered,The Cure,Y
0.0501,0.209,179.13333,179133,0.734,81,0.000977,7,0.288,-5.668,1,40,2004,0.0417,116.26,0,4,0.381,I Luv the Valley OH!,Xiu Xiu,Y
0.0404,0.677,152.9132,152913,0.744,82,0.00016,10,0.074,-6.806,0,64,2/1/19,0.0295,124.08,0.51,4,0.631,Piece Of Your Heart,MEDUZA,N
0.374,0.732,212.60676,212607,0.463,83,0,11,0.194,-6.972,0,88,6/14/19,0.0287,95.971,0.211,4,0.397,It's You,Ali Gatie,N
0.0878,0.734,154.0244,154024,0.693,84,0,0,0.341,-6.474,1,80,6/14/19,0.0361,110.021,0.664,4,0.55,Sad Song (feat. TINI),Alesso,N
0.0669,0.847,200.59397,200594,0.678,85,0,9,0.274,-8.635,1,84,5/3/19,0.109,97.984,0.47,4,0.811,The Git Up,Blanco Brown,N
0.00506,0.599,213.76,213760,0.932,86,0,9,0.269,-3.328,1,71,10/17/00,0.18,96.234,0.611,4,0.692,Rollin' (Air Raid Vehicle),Limp Bizkit,Y
0.0128,0.672,278.71973,278720,0.857,87,0.0009,0,0.16,-4.915,1,10,10/19/07,0.038,138.153,0.946,4,0.685,Young Folks,Peter Bjorn and John,Y
0.553,0.637,253.08,253080,0.418,88,0,4,0.0982,-7.022,1,6,10/3/08,0.0293,76.949,0.339,4,0.251,Hero Of War,Rise Against,N
0.94,0.561,139.46667,139467,0.0859,89,0,6,0.16,-11.478,0,60,3/21/00,0.0511,78.372,0.178,4,0.117,Sea of Love,Cat Power,N
0.00206,0.614,248.62667,248627,0.97,90,0,8,0.119,-0.252,0,56,2009,0.0452,150.061,0.788,4,0.935,In For The Kill,La Roux,N
0.0492,0.755,266.6,266600,0.553,91,0.00607,6,0.0646,-9.449,0,66,3/6/00,0.107,119.7,0.735,4,0.836,If I Ever Feel Better,Phoenix,N
0.00327,0.587,260.25333,260253,0.828,92,0,11,0.331,-5.108,1,65,1/1/11,0.161,123.907,0.79,4,0.494,Born This Way,Lady Gaga,N
0.00882,0.613,231.24,231240,0.622,93,0,1,0.37,-5.794,0,76,10/4/13,0.0334,80.003,0.088,4,0.484,We Can't Stop,Miley Cyrus,N
0.0253,0.659,231.78667,231787,0.935,94,0,10,0.0653,-2.739,0,62,1/1/10,0.107,129.048,0.767,4,0.73,I Like It,Enrique Iglesias,N
